Age / Âge,age,lx,dx,X,m.e.(qx),px,Lx,Tx,ex,m.e.(ex),sex,country,year
0 year / 0 an,0,"100,000",474,0.00474,0.00030,0.99526,"99,565","7,985,800",79.86,0.07,males,Canada,2015
1 year / 1 an,1,"99,526",32,0.00032,0.00008,0.99968,"99,506","7,886,235",79.24,0.06,males,Canada,2015
2 years / 2 ans,2,"99,494",23,0.00023,0.00007,0.99977,"99,482","7,786,729",78.26,0.06,males,Canada,2015
3 years / 3 ans,3,"99,472",17,0.00017,0.00006,0.99983,"99,462","7,687,247",77.28,0.06,males,Canada,2015
4 years / 4 ans,4,"99,455",13,0.00013,0.00005,0.99987,"99,449","7,587,785",76.29,0.06,males,Canada,2015
5 years / 5 ans,5,"99,442",11,0.00011,0.00005,0.99989,"99,436","7,488,336",75.30,0.06,males,Canada,2015
6 years / 6 ans,6,"99,431",9,0.00009,0.00004,0.99991,"99,426","7,388,899",74.31,0.06,males,Canada,2015
7 years / 7 ans,7,"99,422",8,0.00009,0.00004,0.99991,"99,417","7,289,473",73.32,0.06,males,Canada,2015
8 years / 8 ans,8,"99,413",8,0.00008,0.00004,0.99992,"99,409","7,190,056",72.33,0.06,males,Canada,2015
9 years / 9 ans,9,"99,405",8,0.00008,0.00004,0.99992,"99,401","7,090,647",71.33,0.06,males,Canada,2015
10 years / 10 ans,10,"99,397",8,0.00008,0.00004,0.99992,"99,393","6,991,246",70.34,0.06,males,Canada,2015
11 years / 11 ans,11,"99,389",9,0.00009,0.00004,0.99991,"99,384","6,891,853",69.34,0.06,males,Canada,2015
12 years / 12 ans,12,"99,380",11,0.00011,0.00005,0.99989,"99,374","6,792,469",68.35,0.06,males,Canada,2015
13 years / 13 ans,13,"99,369",13,0.00013,0.00005,0.99987,"99,363","6,693,094",67.36,0.06,males,Canada,2015
14 years / 14 ans,14,"99,356",16,0.00017,0.00006,0.99983,"99,348","6,593,732",66.36,0.06,males,Canada,2015
15 years / 15 ans,15,"99,340",22,0.00022,0.00006,0.99978,"99,328","6,494,384",65.38,0.06,males,Canada,2015
16 years / 16 ans,16,"99,317",30,0.00030,0.00007,0.99970,"99,302","6,395,056",64.39,0.06,males,Canada,2015
17 years / 17 ans,17,"99,287",39,0.00039,0.00008,0.99961,"99,268","6,295,753",63.41,0.06,males,Canada,2015
18 years / 18 ans,18,"99,249",48,0.00048,0.00009,0.99952,"99,225","6,196,485",62.43,0.06,males,Canada,2015
19 years / 19 ans,19,"99,201",56,0.00057,0.00010,0.99943,"99,173","6,097,260",61.46,0.06,males,Canada,2015
20 years / 20 ans,20,"99,145",65,0.00065,0.00010,0.99935,"99,112","5,998,087",60.50,0.06,males,Canada,2015
21 years / 21 ans,21,"99,080",72,0.00073,0.00011,0.99927,"99,044","5,898,975",59.54,0.06,males,Canada,2015
22 years / 22 ans,22,"99,008",77,0.00078,0.00011,0.99922,"98,969","5,799,931",58.58,0.06,males,Canada,2015
23 years / 23 ans,23,"98,931",80,0.00081,0.00011,0.99919,"98,890","5,700,962",57.63,0.06,males,Canada,2015
24 years / 24 ans,24,"98,850",81,0.00082,0.00011,0.99918,"98,810","5,602,071",56.67,0.06,males,Canada,2015
25 years / 25 ans,25,"98,769",81,0.00082,0.00011,0.99918,"98,729","5,503,262",55.72,0.06,males,Canada,2015
26 years / 26 ans,26,"98,689",81,0.00082,0.00011,0.99918,"98,648","5,404,533",54.76,0.06,males,Canada,2015
