date,overall,"food, drinks and tobacco","clothes, shoes and accesories",housing,forniture and domestic appliances,health and personal care,transportation,education and recreation,others
Ene 1990,7.776037301728,6.837944967264,12.667199325795,9.080093840235,12.502351211416,6.802179638942,5.761363145256,6.227297861906,6.851135666702
Feb 1990,7.952119853776,7.034684485752,12.886569819053,9.287186416657,12.651315910715,6.969105507676,5.838185125960,6.334418829686,7.023921179197
Mar 1990,8.092309919660,7.194864554222,13.059996357233,9.502749257904,12.751535817124,7.057352847979,5.888521099766,6.397365053283,7.151782281609
Abr 1990,8.215471549391,7.277527609376,13.244618045613,9.717777477856,12.851035683308,7.161201713406,5.969397040114,6.572473202726,7.272521371270
May 1990,8.358837675672,7.369249787330,13.398157114569,9.924137150123,12.999562523611,7.337010916594,6.090147161517,6.713127215050,7.473047697959
Jun 1990,8.542938589472,7.470656631896,13.572976389872,10.226286323548,13.217553814603,7.589995109367,6.339141015896,6.850942305261,7.597574744008
Jul 1990,8.698734833726,7.607286837400,13.744231898924,10.489873193060,13.454075441998,7.749204402436,6.419782380969,6.954171884170,7.737428078302
Ago 1990,8.846950441605,7.752202164305,14.008339982381,10.734659090869,13.676435622393,7.887039326769,6.445684283426,7.063140724837,7.857804306345
Sep 1990,8.973061368705,7.811935242995,14.203390818698,10.977932509234,13.809958381292,7.999184169411,6.493926503851,7.403532153185,7.977960543296
Oct 1990,9.102059887647,7.907529700044,14.297464094847,11.238436098707,13.992294041694,8.112225304435,6.608531236946,7.464769024079,8.082666583213
Nov 1990,9.343723102676,8.092883559847,14.545916173667,11.603609653564,14.207471332369,8.253195912630,6.926318125425,7.569156741373,8.289987451064
Dic 1990,9.638213953861,8.362250163118,14.844705471918,11.981872532758,14.413591683350,8.432787824594,7.203435368709,7.809336022656,8.583678952369
Ene 1991,9.883879894801,8.570641659275,15.095609175816,12.451568292306,14.630415334945,8.634747186495,7.322872106007,8.083669544510,8.784386073058
Feb 1991,10.056424721909,8.661490109519,15.303716921779,12.809544942489,14.866483532265,8.869157251106,7.425468251588,8.238085503549,9.000155240715
Mar 1991,10.199839643789,8.731497140968,15.522671638919,13.152772034658,15.064963667382,9.005690169919,7.534251589763,8.357476121390,9.120532733180
Abr 1991,10.306687551198,8.845225702436,15.730732287052,13.296511696657,15.270000065260,9.093458869924,7.581334873089,8.434188576296,9.149798334939
May 1991,10.407441671111,8.964575136552,15.881797191555,13.408376608892,15.425988087041,9.167667880802,7.655047000273,8.498822734635,9.154993492216
Jun 1991,10.516647583476,9.107010929959,16.031024916097,13.533595241993,15.548762773525,9.255135612178,7.683086780602,8.591490587988,9.195266409838
Jul 1991,10.609584269262,9.184380623822,16.150646732411,13.663265763684,15.707448025739,9.344146650027,7.714270093513,8.759591381068,9.273817115401
Ago 1991,10.683422977312,9.210922234389,16.364776025091,13.783931418636,15.851561211439,9.424169608915,7.750899713827,8.858331231262,9.382590530647
Sep 1991,10.789850374312,9.238725146600,16.604171214865,13.922021650680,16.031390350802,9.503255181845,7.807422875713,9.261660314018,9.501828856766
Oct 1991,10.915342738584,9.327621018984,16.836412238516,14.107799598394,16.240780073607,9.573445475962,7.924246775053,9.422179685246,9.570343258438
Nov 1991,11.186374096785,9.454894065064,16.610524549606,14.399715258242,16.034416469095,9.667966841296,8.883440445455,9.532635104764,9.664378295840
Dic 1991,11.449679866826,9.659261426817,16.584844930528,14.843572558584,16.130382301344,9.844659071971,9.352137693955,9.688790408668,9.755147555684
Ene 1992,11.657778465389,9.812389343105,16.791820057085,15.215628067113,16.311838341079,10.133143470085,9.430545962536,9.988428659644,9.969109983391
Feb 1992,11.795900435066,9.900047718753,17.005642127208,15.430607690415,16.507539514107,10.264233684779,9.543685184726,10.118645189626,10.128413875665
Mar 1992,11.915947720290,9.993526415500,17.214950089673,15.600489080298,16.674427383399,10.348366845452,9.666768279705,10.191844688074,10.214374859278
Abr 1992,12.022171319641,10.066554665112,17.471056077795,15.697297269578,16.863961504598,10.467244464197,9.743074665164,10.278507664887,10.361756058299
May 1992,12.101437891772,10.053959837949,17.693980101694,15.814088419189,17.105274322520,10.733537752681,9.798625851403,10.334425119170,10.523436899011
