Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,0,1,0.15829,0.14352,100000,14352,90671,4687675,46.88,46.95
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,1,4,0.02353,0.08858,85648,7587,322502,4597004,53.67,53.73
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,5,5,0.0046,0.02274,78061,1775,385868,4274502,54.76,54.76
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,10,5,0.00267,0.01324,76286,1010,378905,3888635,50.97,50.97
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,15,5,0.00394,0.0195,75276,1468,372710,3509730,46.62,46.62
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,20,5,0.00618,0.03043,73808,2246,363425,3137020,42.5,42.5
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,25,5,0.0072,0.03534,71562,2529,351488,2773595,38.76,38.76
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,30,5,0.00824,0.04036,69033,2786,338200,2422107,35.09,35.09
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,35,5,0.00959,0.04681,66247,3101,323482,2083907,31.46,31.46
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,40,5,0.01142,0.05554,63146,3507,306962,1760425,27.88,27.88
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,45,5,0.01415,0.06834,59639,4076,288005,1453462,24.37,24.37
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,50,5,0.01784,0.0854,55563,4745,265952,1165457,20.98,20.98
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,55,5,0.02401,0.11325,50818,5755,239702,899505,17.7,17.7
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,60,5,0.03261,0.15074,45063,6793,208332,659802,14.64,14.64
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,65,5,0.04775,0.21327,38270,8162,170945,451470,11.8,11.8
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,70,5,0.06769,0.28946,30108,8715,128752,280525,9.32,9.32
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,75,5,0.09552,0.38555,21393,8248,86345,151772,7.09,7.09
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,80,5,0.17584,0.61073,13145,8028,45655,65427,4.98,4.98
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,85,5,0.24609,0.76177,5117,3898,15840,19772,3.86,3.87
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,90,5,0.30361,0.863,1219,1052,3465,3932,3.23,3.23
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,95,5,0.34222,0.92216,167,154,450,467,2.8,2.83
MEX,0,0,0,0,1,4000.85,1950,1950,4,1,100,99,0.74291,1,13,13,17,17,1.35,1.8
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,0,1,0.12737,0.11763,100000,11763,92354,5062300,50.62,50.65
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,1,4,0.02443,0.0918,88237,8100,331572,4969946,56.32,56.35
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,5,5,0.0046,0.02274,80137,1822,396130,4638374,57.88,57.88
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,10,5,0.0024,0.01194,78315,935,389238,4242244,54.17,54.17
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,15,5,0.00331,0.01643,77380,1271,383722,3853006,49.79,49.79
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,20,5,0.00463,0.0229,76109,1743,376188,3469284,45.58,45.58
MEX,0,0,0,0,1,4000.85,1950,1950,4,2,25,5,0.00557,0.02745,74366,2041,366728,3093096,41.59,41.59
