year,inc_rate,age_group,type
2000,11.8203,25-44,incidence
2002,20.6418,25-44,incidence
2004,23.7223,25-44,incidence
2006,22.9522,25-44,incidence
2008,20.9218,25-44,incidence
2010,16.3711,25-44,incidence
2000,21.972,45-49,incidence
2002,45.986,45-49,incidence
2004,32.9638,45-49,incidence
2006,33.734,45-49,incidence
2008,30.9335,45-49,incidence
2010,21.5519,45-49,incidence
2000,17.2812,50-59,incidence
2002,61.1085,50-59,incidence
2004,38.7048,50-59,incidence
2006,37.8646,50-59,incidence
2008,32.4737,50-59,incidence
2010,24.1424,50-59,incidence
2000,20.7818,60-64,incidence
2002,29.6033,60-64,incidence
2004,44.7958,60-64,incidence
2006,44.0257,60-64,incidence
2008,36.8145,60-64,incidence
2010,27.0128,60-64,incidence
2000,14.2707,65+,incidence
2002,43.2555,65+,incidence
2004,37.0945,65+,incidence
2006,34.9242,65+,incidence
2008,30.3034,65+,incidence
2010,19.2415,65+,incidence
