year,rate,age_group,type
2000,7.5973,25-44,mortality
2002,6.3959,25-44,mortality
2004,5.8238,25-44,mortality
2006,5.3661,25-44,mortality
2008,4.9657,25-44,mortality
2010,4.3936,25-44,mortality
2000,23.7872,45-49,mortality
2002,21.1556,45-49,mortality
2004,16.7506,45-49,mortality
2006,16.2929,45-49,mortality
2008,14.3764,45-49,mortality
2010,14.0618,45-49,mortality
2000,31.7391,50-59,mortality
2002,27.2197,50-59,mortality
2004,25.6178,50-59,mortality
2006,23.7872,50-59,mortality
2008,19.0961,50-59,mortality
2010,17.7803,50-59,mortality
2000,39.7483,60-64,mortality
2002,35.3146,60-64,mortality
2004,32.9691,60-64,mortality
2006,29.1648,60-64,mortality
2008,28.8501,60-64,mortality
2010,25.2746,60-64,mortality
2000,54.7082,65+,mortality
2002,48.8444,65+,mortality
2004,47.0709,65+,mortality
2006,42.4371,65+,mortality
2008,39.7483,65+,mortality
2010,36.2014,65+,mortality
